part_id,part_name,part_number,unit_cost,unit_price,part_pic
100,BLUE GIANT DOCK PUSH BUTTON 208 VOLTS 3 PHASE WITHOUT O/L,,135.8,183.33,
101,BLUE GIANT DOCK PUSH BUTTON 120 VOLTS SINGE PHASE,,260.82,352.11,
102,BLUE GIANT DOCK PUSH BUTTON 120 VOLTS SINGLE PHASE WITHOUT O/L,,135.8,183.33,
103,BLUE GIANT POWER BOARD 575 VOLTS 3 PHASE,026-PB3575,543.2,624.68,
104,SERCO PITBULL LS1-LS2,625036,60,200,
105,SERCO PITBULL LS4,625043,60,200,
106,BLUE GIANT I/O BOARD,026-G025BM,306.6,383.25,
107,PENTALIFT RESTRAINT LIMT SWITCH WITH PLUNGER,4601064,200,300,
108,PENTALIFT RESTRAINT LIMIT SWITCH WITH LEAVER,4600962,200,300,
109,BLUE GIANT HVR RESTRAINT LIMIT SWITCH,026-H19,80,100,
110,BLUE GIANT HVR RESTRAINT DRIVE CHAIN ,1005470,80,100,
111,HYDRAULIC OIL PER LITRE,,10.83,10.83,
112,LUBE KIT,,20,20,
113,HARDWARE KIT,,17.8,17.8,
114,ELECTRICAL KIT,,16.2,16.2,
115,PENTALIFT SOLENOID VALVE COIL 120 VOLTS ,4582019,317.63,397.04,
116,PUSH BUTTON STATION 3 BUTTON KEY LOCKOUT NEMA 4 - PVC,PBS-3BS-N4,110.25,165.38,
117,PUSH BUTTON STATION 2 BUTTON KEY NEMA 4 - PVC,PBS-2BS-N4,51,102,
118,PUSH BUTTON STATION 1 BUTTON KEY NEMA 4 - PVC,PBS-1BS-N4,42.53,85.06,
119,PUSH BUTTON STATION 3 BUTTON KEY NEMA 1 (METAL),PBS-3B-N1,15.75,39.38,
120,PUSH BUTTON STATION 2 BUTTON KEY NEMA 1 (METAL),PBS-2B-N1,17.25,43.13,
121,PUSH BUTTON STATION 1 BUTTON KEY NEMA 1 (METAL),PBS-1B-N1,15,37.5,
122,PHOTOCELL A8 24V W/ REF & BRKT,60-2728,142.13,191.88,
123,PHOTO EYE REFLECTOR ,,,,
124,PHOTOCELL C/W REFLECTOR,PMP12R1,91.5,183,
125,PHOTOCELL LIFTMASTER NEMA 4 MONITORED,CPS-RPEN4,183.94,229.93,
126,KELLY RESTRAINT READ SWITCH,061812,179.99,225,
127,KELLY RESTRAINT PROXIMITY SENSOR,IFC2004,230.45,288.06,
128,FEATHEREDGE RADIO SWITCH RECEIVER ONLY,DWR-NO,45,90,
129,FEATHEREDGE SWITCH W/BOX TRANSM & REC NO/NC,DWRS-200,120,180,
130,TRANSFORMER 40VA 115V - 24VAC TRANF143,MK00030,32.48,81.2,
131,TRANSFORMER 40VA 230V - 24V TRANF037,MK00031,35.5,88.75,
132,TRANSFORMER 40VA 575V - 24V TRANF142,MK00033,35.5,88.75,
133,LIFTMASTER TRANSFORMER 21-3260-1-120/208/230/460 60VA,,110.76,138.45,
134,LIFTMASTER TRANSFORMER 21-10298-1-575 60VA,,110.76,138.45,
135,SOLENOID 120V 4 X 240,SOLENOID 001,55.9,111.8,
136,SOLENOID 240V 4 X 894,SOLENOID 002,59.68,119.36,
137,SOLENOID 575V 8 X 169 - 575V 60HZ LAMINATED,SOLENOID 004,71.76,143.52,
138,RELAY 24V AC COIL 3PDT,LY3F-AC24,25.13,50.26,
139,RELAY 110 AC VOLT COIL DPDT,OR-LY2FAC1101,18.23,45.58,
140,RELAY 240 VOLT COIL DPDT,OR-LY2FAC2202,21.26,53.15,
